Time, Energy
0.039700,-10.432614
0.039800,-10.439840
0.039900,-10.446635
0.040000,-10.452929
0.040100,-10.458702
0.040200,-10.463925
0.040300,-10.468555
0.040400,-10.472560
0.040500,-10.475896
0.040600,-10.478525
0.040700,-10.480428
0.040800,-10.481544
0.040900,-10.481869
0.041000,-10.481361
0.041100,-10.479989
0.041200,-10.477749
0.041300,-10.474617
0.041400,-10.470589
0.041500,-10.465668
0.041600,-10.459845
0.041700,-10.453126
0.041800,-10.445511
0.041900,-10.437009
0.042000,-10.427645
0.042100,-10.417424
0.042200,-10.406363
0.042300,-10.394481
0.042400,-10.381793
0.042500,-10.368330
0.042600,-10.354124
0.042700,-10.339206
0.042800,-10.323614
0.042900,-10.307397
0.043000,-10.290588
0.043100,-10.273245
0.043200,-10.255397
0.043300,-10.237096
0.043400,-10.218385
0.043500,-10.199317
0.043600,-10.179932
0.043700,-10.160289
0.043800,-10.140430
0.043900,-10.120406
0.044000,-10.100252
0.044100,-10.080016
0.044200,-10.059755
0.044300,-10.039504
0.044400,-10.019325
0.044500,-9.999264
0.044600,-9.979382
0.044700,-9.959744
0.044800,-9.940371
0.044900,-9.921337
0.045000,-9.902699
0.045100,-9.884497
0.045200,-9.866769
0.045300,-9.849581
0.045400,-9.832971
0.045500,-9.816975
0.045600,-9.801642
0.045700,-9.787018
0.045800,-9.773134
0.045900,-9.760024
0.046000,-9.747727
0.046100,-9.736265
0.046200,-9.725672
0.046300,-9.715972
0.046400,-9.707192
0.046500,-9.699350
0.046600,-9.692464
0.046700,-9.686554
0.046800,-9.681638
0.046900,-9.677741
0.047000,-9.674869
0.047100,-9.673045
0.047200,-9.672289
0.047300,-9.672607
0.047400,-9.673983
0.047500,-9.676431
0.047600,-9.679934
0.047700,-9.684493
0.047800,-9.690092
0.047900,-9.696708
0.048000,-9.704320
0.048100,-9.712912
0.048200,-9.722455
0.048300,-9.732927
0.048400,-9.744284
0.048500,-9.756514
0.048600,-9.769598
0.048700,-9.783501
0.048800,-9.798187
0.048900,-9.813623
0.049000,-9.829782
0.049100,-9.846620
0.049200,-9.864081
0.049300,-9.882144
0.049400,-9.900740
0.049500,-9.919849
0.049600,-9.939424
0.049700,-9.959410
0.049800,-9.979782
0.049900,-10.000509
0.050000,-10.021547
0.050100,-10.042881
0.050200,-10.064476
0.050300,-10.086295
0.050400,-10.108313
0.050500,-10.130491
0.050600,-10.152794
0.050700,-10.175166
0.050800,-10.197560
0.050900,-10.219955
0.051000,-10.242302
0.051100,-10.264545
0.051200,-10.286679
0.051300,-10.308660
0.051400,-10.330440
0.051500,-10.352026
0.051600,-10.373376
0.051700,-10.394481
0.051800,-10.415307
0.051900,-10.435844
0.052000,-10.456062
0.052100,-10.475959
0.052200,-10.495506
0.052300,-10.514680
0.052400,-10.533466
0.052500,-10.551857
0.052600,-10.569835
0.052700,-10.587374
0.052800,-10.604477
0.052900,-10.621116
0.053000,-10.637283
0.053100,-10.652974
0.053200,-10.668175
0.053300,-10.682884
0.053400,-10.697096
0.053500,-10.710805
0.053600,-10.723995
0.053700,-10.736656
0.053800,-10.748807
0.053900,-10.760434
0.054000,-10.771541
0.054100,-10.782133
0.054200,-10.792203
0.054300,-10.801756
0.054400,-10.810790
0.054500,-10.819318
0.054600,-10.827345
0.054700,-10.834865
0.054800,-10.841900
0.054900,-10.848446
0.055000,-10.854517
0.055100,-10.860129
0.055200,-10.865290
0.055300,-10.870019
0.055400,-10.874312
0.055500,-10.878201
0.055600,-10.881704
0.055700,-10.884830
0.055800,-10.887587
0.055900,-10.889992
0.056000,-10.892052
0.056100,-10.893786
0.056200,-10.895211
0.056300,-10.896340
0.056400,-10.897166
0.056500,-10.897740
0.056600,-10.898050
0.056700,-10.898122
0.056800,-10.897967
0.056900,-10.897601
0.057000,-10.897044
0.057100,-10.896293
0.057200,-10.895378
0.057300,-10.894294
0.057400,-10.893061
0.057500,-10.891656
0.057600,-10.890122
0.057700,-10.888448
0.057800,-10.886650
0.057900,-10.884718
0.058000,-10.882658
0.058100,-10.880478
0.058200,-10.878181
0.058300,-10.875767
0.058400,-10.873237
0.058500,-10.870593
0.058600,-10.867827
0.058700,-10.864954
0.058800,-10.861955
0.058900,-10.858836
0.059000,-10.855608
0.059100,-10.852263
0.059200,-10.848788
0.059300,-10.845188
0.059400,-10.841458
0.059500,-10.837609
0.059600,-10.833627
0.059700,-10.829509
0.059800,-10.825252
0.059900,-10.820854
0.060000,-10.816328
0.060100,-10.811651
0.060200,-10.806826
0.060300,-10.801850
0.060400,-10.796719
0.060500,-10.791428
0.060600,-10.785984
0.060700,-10.780370
0.060800,-10.774607
0.060900,-10.768675
0.061000,-10.762576
0.061100,-10.756319
0.061200,-10.749901
0.061300,-10.743329
0.061400,-10.736596
0.061500,-10.729692
0.061600,-10.722625
0.061700,-10.715400
0.061800,-10.708024
0.061900,-10.700489
0.062000,-10.692803
0.062100,-10.684955
0.062200,-10.676963
0.062300,-10.668817
0.062400,-10.660520
0.062500,-10.652084
0.062600,-10.643501
0.062700,-10.634779
0.062800,-10.625927
0.062900,-10.616945
0.063000,-10.607842
