Time, Energy
0.054900,5.864455
0.055000,5.870359
0.055100,5.875782
0.055200,5.880734
0.055300,5.885229
0.055400,5.889281
0.055500,5.892903
0.055600,5.896110
0.055700,5.898916
0.055800,5.901334
0.055900,5.903377
0.056000,5.905060
0.056100,5.906397
0.056200,5.907400
0.056300,5.908084
0.056400,5.908463
0.056500,5.908553
0.056600,5.908369
0.056700,5.907925
0.056800,5.907237
0.056900,5.906319
0.057000,5.905186
0.057100,5.903850
0.057200,5.902322
0.057300,5.900614
0.057400,5.898734
0.057500,5.896691
0.057600,5.894492
0.057700,5.892143
0.057800,5.889648
0.057900,5.887013
0.058000,5.884243
0.058100,5.881341
0.058200,5.878311
0.058300,5.875157
0.058400,5.871880
0.058500,5.868482
0.058600,5.864963
0.058700,5.861325
0.058800,5.857566
0.058900,5.853688
0.059000,5.849690
0.059100,5.845570
0.059200,5.841329
0.059300,5.836964
0.059400,5.832476
0.059500,5.827864
0.059600,5.823127
0.059700,5.818263
0.059800,5.813271
0.059900,5.808146
0.060000,5.802889
0.060100,5.797496
0.060200,5.791965
0.060300,5.786293
0.060400,5.780479
0.060500,5.774522
0.060600,5.768419
0.060700,5.762171
0.060800,5.755777
0.060900,5.749237
0.061000,5.742550
0.061100,5.735719
0.061200,5.728743
0.061300,5.721623
0.061400,5.714360
0.061500,5.706955
0.061600,5.699410
0.061700,5.691726
0.061800,5.683904
0.061900,5.675945
0.062000,5.667850
0.062100,5.659622
0.062200,5.651263
0.062300,5.642774
0.062400,5.634160
0.062500,5.625422
0.062600,5.616564
0.062700,5.607590
0.062800,5.598505
0.062900,5.589315
0.063000,5.580023
0.063100,5.570637
0.063200,5.561161
0.063300,5.551603
0.063400,5.541970
0.063500,5.532268
0.063600,5.522505
0.063700,5.512691
0.063800,5.502832
0.063900,5.492939
0.064000,5.483020
0.064100,5.473084
0.064200,5.463141
0.064300,5.453199
0.064400,5.443269
0.064500,5.433361
0.064600,5.423483
0.064700,5.413648
0.064800,5.403864
0.064900,5.394143
0.065000,5.384494
0.065100,5.374928
0.065200,5.365455
0.065300,5.356085
0.065400,5.346827
0.065500,5.337691
0.065600,5.328685
0.065700,5.319820
0.065800,5.311106
0.065900,5.302552
0.066000,5.294169
0.066100,5.285965
0.066200,5.277952
0.066300,5.270138
0.066400,5.262532
0.066500,5.255144
0.066600,5.247982
0.066700,5.241054
0.066800,5.234367
0.066900,5.227930
0.067000,5.221750
0.067100,5.215835
0.067200,5.210191
0.067300,5.204825
0.067400,5.199745
0.067500,5.194955
0.067600,5.190462
0.067700,5.186270
0.067800,5.182383
0.067900,5.178805
0.068000,5.175539
0.068100,5.172586
0.068200,5.169949
0.068300,5.167629
0.068400,5.165626
0.068500,5.163942
0.068600,5.162574
0.068700,5.161522
0.068800,5.160784
0.068900,5.160358
0.069000,5.160240
0.069100,5.160427
0.069200,5.160915
0.069300,5.161698
0.069400,5.162772
0.069500,5.164131
0.069600,5.165769
0.069700,5.167680
0.069800,5.169858
0.069900,5.172295
0.070000,5.174986
0.070100,5.177922
0.070200,5.181097
0.070300,5.184502
0.070400,5.188128
0.070500,5.191968
0.070600,5.196012
0.070700,5.200251
0.070800,5.204676
0.070900,5.209276
0.071000,5.214042
0.071100,5.218966
0.071200,5.224036
0.071300,5.229242
0.071400,5.234576
0.071500,5.240025
0.071600,5.245581
0.071700,5.251231
0.071800,5.256965
0.071900,5.262774
0.072000,5.268647
0.072100,5.274574
0.072200,5.280545
0.072300,5.286549
0.072400,5.292578
0.072500,5.298622
0.072600,5.304670
0.072700,5.310714
0.072800,5.316743
0.072900,5.322747
0.073000,5.328717
0.073100,5.334644
0.073200,5.340518
0.073300,5.346330
0.073400,5.352073
0.073500,5.357738
0.073600,5.363319
0.073700,5.368807
0.073800,5.374196
0.073900,5.379478
0.074000,5.384648
0.074100,5.389699
0.074200,5.394623
0.074300,5.399414
0.074400,5.404066
0.074500,5.408572
0.074600,5.412927
0.074700,5.417125
0.074800,5.421162
0.074900,5.425032
0.075000,5.428733
0.075100,5.432262
0.075200,5.435613
0.075300,5.438784
0.075400,5.441771
0.075500,5.444571
0.075600,5.447182
0.075700,5.449600
0.075800,5.451824
0.075900,5.453851
0.076000,5.455679
0.076100,5.457305
0.076200,5.458728
0.076300,5.459946
0.076400,5.460958
0.076500,5.461763
0.076600,5.462361
0.076700,5.462751
0.076800,5.462934
0.076900,5.462910
0.077000,5.462680
0.077100,5.462245
0.077200,5.461607
0.077300,5.460766
0.077400,5.459725
0.077500,5.458485
0.077600,5.457048
0.077700,5.455416
0.077800,5.453591
0.077900,5.451577
0.078000,5.449376
0.078100,5.446990
0.078200,5.444424
0.078300,5.441679
0.078400,5.438759
0.078500,5.435665
0.078600,5.432400
0.078700,5.428965
0.078800,5.425363
0.078900,5.421597
0.079000,5.417670
0.079100,5.413586
0.079200,5.409349
0.079300,5.404963
0.079400,5.400431
0.079500,5.395760
0.079600,5.390952
0.079700,5.386012
0.079800,5.380945
0.079900,5.375755
0.080000,5.370445
0.080100,5.365022
0.080200,5.359489
0.080300,5.353852
0.080400,5.348115
0.080500,5.342285
0.080600,5.336365
0.080700,5.330360
0.080800,5.324275
0.080900,5.318115
0.081000,5.311885
0.081100,5.305588
0.081200,5.299230
0.081300,5.292814
0.081400,5.286344
0.081500,5.279825
0.081600,5.273259
0.081700,5.266650
0.081800,5.260000
0.081900,5.253313
0.082000,5.246591
0.082100,5.239839
0.082200,5.233059
0.082300,5.226254
0.082400,5.219429
0.082500,5.212587
0.082600,5.205732
0.082700,5.198869
0.082800,5.192002
0.082900,5.185135
0.083000,5.178274
0.083100,5.171422
0.083200,5.164584
0.083300,5.157765
0.083400,5.150969
0.083500,5.144201
0.083600,5.137465
0.083700,5.130767
0.083800,5.124110
0.083900,5.117499
0.084000,5.110938
0.084100,5.104430
0.084200,5.097979
0.084300,5.091589
0.084400,5.085263
0.084500,5.079005
0.084600,5.072817
0.084700,5.066703
0.084800,5.060665
0.084900,5.054706
0.085000,5.048828
0.085100,5.043033
0.085200,5.037326
0.085300,5.031707
0.085400,5.026179
0.085500,5.020744
0.085600,5.015404
0.085700,5.010160
0.085800,5.005014
0.085900,4.999967
0.086000,4.995019
0.086100,4.990172
0.086200,4.985427
0.086300,4.980784
0.086400,4.976245
0.086500,4.971809
0.086600,4.967479
0.086700,4.963254
0.086800,4.959137
0.086900,4.955127
0.087000,4.951226
0.087100,4.947433
0.087200,4.943749
0.087300,4.940174
0.087400,4.936708
0.087500,4.933351
0.087600,4.930104
0.087700,4.926965
0.087800,4.923935
0.087900,4.921014
0.088000,4.918199
0.088100,4.915490
0.088200,4.912887
0.088300,4.910388
0.088400,4.907990
0.088500,4.905693
0.088600,4.903494
0.088700,4.901391
0.088800,4.899383
0.088900,4.897465
0.089000,4.895638
0.089100,4.893896
0.089200,4.892239
0.089300,4.890663
0.089400,4.889165
0.089500,4.887743
0.089600,4.886394
0.089700,4.885115
0.089800,4.883905
0.089900,4.882760
0.090000,4.881679
0.090100,4.880660
0.090200,4.879700
0.090300,4.878798
0.090400,4.877951
0.090500,4.877158
0.090600,4.876415
0.090700,4.875722
0.090800,4.875075
0.090900,4.874472
0.091000,4.873912
0.091100,4.873392
0.091200,4.872909
0.091300,4.872462
0.091400,4.872048
0.091500,4.871665
